Data Scope,Code,Name,"Credit
Points",Unit Designation,Unit Type,Prerequisites,Corequisites,NCCW,When Offered,On Campus Attendance,Staff Contact,"Offering
Department",Offering Faculty,"FOE -
Narrow",Pass/Fail,Co-taught Units,Quota,Unit Activity,ASQCNew,ASQCRecoded,WWCC,Status,Placement in SONIA,Authority,Capstone unit?,Awards/Majors
Undergraduate,ACCG2050,Information Systems and Business Processes,10,,,50cp at 1000 level or above including ACCG100 or ACCG1000 or ACCG106,,"ACCG251, ACCG250","S1 Day
S2 Day","
"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG2051,Business and Corporations Law,10,,,50cp at 1000 level or above,,"BUSL301, BUSL251","S1 Day
S2 Day","
","Dr Michael Quilter
Dr Zaman Khorseduzzaman
",Department of Accounting and Corporate Governance,Macquarie Business School,80300,No,none,no quota,no activity,No,No,,Green,No,approved as they are recoded from existing BUSL units,No,
Undergraduate,ACCG2060,Sustainability Strategy and Reporting,10,,,50cp at 1000 level or above,,ACCG260,S1 Day,," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80101,No,none,no quota,no activity,No,No,,Green,No,Discontinued as per 2020 SOU Faculty changes.,No,
Undergraduate,ACCG2065,Blockchain for Business,10,,,50cp at 1000 level or above,,,S2 Day,,"Dr Yvette  Blount
Dr Mauricio  Marrone
",Department of Accounting and Corporate Governance,Macquarie Business School,20307,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,ACCG2067,Foundations of Forensic and Data Analytics,10,,,50cp at 1000 level or above,,,S1 Day,,,Department of Accounting and Corporate Governance,Macquarie Business School,80101,No,none,no quota,no activity,No,No,,Green,No,As per CMS,No,
Undergraduate,ACCG3001,Organisational Planning and Control,10,,,"130cp at 1000 level or above including ACCG200 or ACCG2000
",,ACCG301,"S1 Day
S2 Day","
"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG3005,Global Trade Law,10,,,130cp at 1000 level or above,,BUSL305,S1 Day,," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80300,No,none,no quota,no activity,No,No,,Green,No,approved as they are recoded from existing BUSL units,,
Undergraduate,ACCG3008,Corporate Accounting and Business Advisory,10,,,130cp at 1000 level or above including ACCG224 or ACCG2024,,ACCG308,"S1 Day
S2 Day","
"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG3015,Accountants in the Profession,10,,PACE,160cp including ACCG200 or ACCG2000 or ACCG224 or ACCG2024 or ACCG250 or ACCG2050 or ACCG2065,,ACCG315,"S1 Evening
S2 Evening","
","Associate Professor Rahat Munir
",Department of Accounting and Corporate Governance,Macquarie Business School,80100,No,none,no quota,no activity,No,No,,Green,Yes,"As per 2020 CA Project
Auto approved re-coded unit",Yes,Bachelor of Professional Accounting
Undergraduate,ACCG3020,Taxation Law and Practice,10,,,(20cp at 2000 level or above including (BUSL250 or BUSL251 or ACCG2051)) or 40cp in LAW units at 2000 level,,"LAW503, LAW553, LAWS553, BUSL320, LAWS5053","S1 Day
S2 Day
S3 Day","

","Associate Professor Hope Ashiabor
",Department of Accounting and Corporate Governance,Macquarie Business School,90911,No,none,no quota,no activity,No,No,,Green,No,approved as they are recoded from existing BUSL units,No,
Undergraduate,ACCG3025,Cyber Security and Privacy,10,,,130cp at 1000 level or above,,BUSL315,S2 Day,,"Dr John Selby
",Department of Accounting and Corporate Governance,Macquarie Business School,80300,No,none,no quota,no activity,No,No,,Green,No,approved as they are recoded from existing BUSL units,No,
Undergraduate,ACCG3030,Strategic Management Accounting,10,,,ACCG301 or ACCG3001,,ACCG330,S1 Day,," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG3040,Auditing and Assurance Services,10,,,130cp at 1000 level or above) including [(ACCG308 or ACCG3008) and (ACCG250 or ACCG2050)],,ACCG340,"S1 Day
S2 Day
S3 Day","

"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG3050,Financial Statement Analysis,10,,,130cp at 1000 level or above including AFIN250 or AFIN2050 or AFIN252 or AFIN253 or AFIN2053,,ACCG350,"S1 Evening
S2 Day","
"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG3055,Information Systems for Management,10,,,ACCG250 or ACCG2050,,ACCG355,S2 Evening,," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG3058,Information Systems Audit and Assurance,10,,,ACCG250 or ACCG2050,,ACCG358,S1 Evening,," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,20300,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG3060,Cyber Security Governance and Ethics,10,,,((ACCG250 or ACCG2050) and ACCG2065) or PICT201 or PICT2001,,,S1 Day,,"Dr Yvette Blount
 Mauricio  Marrone
",Department of Accounting and Corporate Governance,Macquarie Business School,29901,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,ACOM1001,Academic Communication in the Social Sciences and Humanities,10,,,,,"ACOM1002, ACOM1003, ACBE100, ACSC100, ACSH100, CAPP100, WACB100, WACS100, WACH100","S1 Day
S1 External
S2 Day","
with on campus sessions
","Dr Maria Herke
",Department of Linguistics,Faculty of Human Sciences,91521,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACOM1002,Academic Communication in Science,10,,,,,"ACOM1001, ACOM1003, ACBE100, ACSH100, ACSC100, CAPP100, WACB100, WACS100, WACH100","S1 Day
S2 Day","
","Dr Deanna Wong
",Department of Linguistics,Faculty of Human Sciences,91521,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACOM1003,Academic Communication in Business and Economics,10,,,,,"ACBE100, ACOM1001, ACOM1002, ACSC100, ACSH100, CAPP100, WACB100, WACS100, WACH100","S1 Day
S2 Day","
","Dr Susan Hoadley
",Department of Linguistics,Faculty of Human Sciences,91521,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST1001,Finance 1A,10,,,,,"WACT101, WACT1001, ACST101","S1 Day
S2 Day
S3 Day","

"," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81100,No,none,1950 (session 1 only),no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST1052,Introduction to Actuarial Studies,10,,,Admission to BActStud or BActStudBSc or BAppFinBActStud or BActStudBProfPrac or BActStudProfPrac(Hons),STAT1371,ACST152,S1 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST2001,Financial Modelling,10,,,50cp at 1000 level or above including [(ACST101 or ACST1001) and (STAT150 or STAT1250 or STAT170 or STAT1170 or STAT171 or STAT1371)],,"ACST201, ACST202, ACST2002","S1 Day
S2 Day","
"," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81100,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST2002,Mathematics of Finance,10,,,(ACST101(Cr) or ACST1001(Cr) or WACT101(Cr) or WACT1001(Cr) or ACST152 or ACST1052) and (MATH133 or MATH1025),,"ACST201, ACST202, ACST2001",S1 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81100,No,none,no quota,no activity,No,No,,Green,No,duplicate created in error,No,
Undergraduate,ACST2012,Combinatorial Probability,10,,,(Admission to BActStud or BActStudBSc or BAppFinBActStud or BActStudBProfPrac or BActStudBProfPrac(Hons)) and (STAT171(Cr) or STAT1371(Cr) or STAT272 or STAT2372),,"ACST211, ACST212",2021,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,10103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST2052,Finance and Financial Reporting,10,,,(Admission to BActStud or BActStudBSc or BAppFinBActStud or BActStudBProfPrac or BActStudBProfPrac(Hons)) and 40cp at 1000 level or above,,"ACST252, AFIN252, AFIN253, AFIN2053",S2 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST2055,Contingent Payments,10,,,(Admission to BActStud or BActStudBSc or BAppFinBActStud or BActStudBProfPrac or BActStudBProfPrac(Hons)) and (ACST152 or ACST1052) and (ACST202 or ACST2002) and (STAT272 or STAT2372),,ACST255,S2 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST3006,Quantitative Asset and Liability Modelling 1,10,,,(ACST202 or ACST2002) and (STAT272 or STAT2372),,"ACCG329, ACST305, ACST306, AFIN329, AFIN3029 ",S1 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST3007,Quantitative Asset and Liability Modelling 2,10,,,ACST306 or ACST3006,,ACST307,S2 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST3015,Research/Project,10,,,160cp at 1000 level or above and permission by special approval,,ACST315,"S1 External
S2 External","with on campus sessions
with on campus sessions"," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST3055,Contingent Payments 2,10,,,ACST358 or ACST3058,,ACST355,S2 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST3056,Mathematical Theory of Risk,10,,,130cp at 1000 level or above including STAT272 or STAT2372,,ACST356,S1 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,10103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST3057,General Insurance Pricing and Reserving,10,,,(ACST356 or ACST3056) and (STAT271 or STAT2371),,ACST357,S2 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST3058,Survival Models,10,,,(ACST255 or ACST2055) and (STAT272 or STAT2372),,ACST358,S1 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST3059,Actuarial Modelling,10,,PACE,ACST358 or ACST3058,,ACST359,S2 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Green,Yes,"As per 2020 CA Project
Auto approved re-coded unit",Yes,"Bachelor of Actuarial Studies
Bachelor of Actuarial Studies with Professional Practice (Honours)"
Undergraduate,ACST4002,Actuarial Control Cycle 1,10,,,(ACST357 or ACST3057) and (ACST358 or ACST3058),,ACST402,S1 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,"ACST7031, ",no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST4003,Actuarial Control Cycle 2,10,,,ACST402 or ACST4002,,ACST403,S2 Day,," Actuarial Studies and Business Analytics staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,"ACST8032, ACST7032, ",no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACST4005,Actuarial Data Analytics,10,,,ACST357 or ACST3057,,,S2 Day,," Actuarial Studies staff 
",Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,"ACST8095, ACST7095, ",no quota,no activity,No,No,,Green,No,Co-teaching approved as per webforms.,No,
Undergraduate,ACST4008,Actuarial Honours Thesis A,10,,,,,,,,,Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA<br />
Not yet created in webforms",No,
Undergraduate,ACST4009,Actuarial Honours Thesis B,10,,,,,,,,,Department of Actuarial Studies and Business Analytics,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Orange,No,"Created for 2020 CA<br />
Not yet created in webforms",No,
Undergraduate,AFIN1002,Finance 1B,10,,,ACST101 or ACST1001 or WACT101 or WACT1001,,"AFIN100, AFIN252, AFIN102","S1 Day
S2 Day","
"," Applied Finance Staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN2000,Principles of Financial Literacy,10,,,70cp at 1000 level or above,,"FOBE301, FOBE302, AFAS300, AFAS200","S1 Online
S2 Online","
"," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN2050,Investments,10,,,50cp at 1000 level or above including ((AFIN100 or AFIN102 or AFIN1002 or ACST152 or ACST1052) and (ACCG100 or ACCG1000 or ACCG106) and (STAT150 or STAT1250 or STAT170 or STAT1170 or STAT171 or STAT1371)) or (ACST252 or ACST2052),,AFIN250,"S1 Day
S2 Day","
"," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81105,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN2053,Financial Management,10,,,50cp at 1000 level or above including ((ACCG100 or ACCG1000 or ACCG106) and (STAT150 or STAT1250 or STAT170 or STAT1170 or STAT171 or STAT1371) and (ACST101 or ACST1001) and (ECON111 or ECON1020)),,"AFIN252, AFIN253","S1 Day
S2 Day","
"," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN2070,Stochastic Methods in Applied Finance,10,,,50cp at 1000 level or above including (AFIN100 or AFIN102 or AFIN1002 or ACST152 or ACST1052) and (STAT150 or STAT1250 or STAT170 or STAT1170 or STAT171 or STAT1371),,AFIN270,"S1 Day
S2 Evening","
"," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN3010,Issues in Applied Finance,10,,PACE,10cp in ACST or AFIN units at 3000 level,,"AFIN312, AFIN3012, AFIN310","S1 Evening
S2 Evening","
","Dr Abhay Singh
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,Yes,"As per 2020 CA Project
Auto approved re-coded unit",Yes,Bachelor of Applied Finance
Undergraduate,AFIN3012,Issues in Corporate Finance,10,,PACE,ACCG350 or ACCG3050 or AFIN352 or AFIN3052 or AFIN353 or AFIN3053,,"AFIN310, AFIN3010, AFIN312
","S1 Evening
S2 Evening","
"," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,Yes,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN3015,Research/Project,10,,,160cp at 1000 level or above and permission by special approval,,FIN315,"S1 External
S2 External","with on campus sessions
with on campus sessions"," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN3028,Financial Risk Management,10,,,(AFIN252 or AFIN250 or AFIN2050) and (AFIN270 or AFIN2070 or STAT272 or STAT2372),,FIN328,"S1 Day
S2 Day","
"," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN3029,Derivative Instruments,10,,,20cp at 2000 level including (AFIN252 or AFIN270 or AFIN2070 or STAT272 or STAT2372),,"ACST306, ACST3006, AFIN329","S1 Evening
S2 Day","
"," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN3031,Quantitative Modelling in Applied Finance,10,,,20cp at 2000 level or above including AFIN250 or AFIN2050 and permission by special approval,,AFIN331,TBD,," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN3041,Advanced Finance,10,,,20cp at 2000 level or above including AFIN250 or AFIN2050 and permission by special approval,,AFIN341,TBD,," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN3052,Applied Portfolio Management,10,,,20cp at 2000 level including (AFIN252 or ((ACST201 or ACST2001 or ACST202 or ACST2002) and (AFIN250 or AFIN2050))),,AFIN352,"S1 Day
S2 Evening","
"," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN3053,Advanced Corporate Finance,10,,,20cp at 2000 level including (AFIN250 or AFIN2050 or AFIN252 or AFIN253 or AFIN2053),,AFIN353,"S1 Evening
S2 Day","
"," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AFIN4050,Research Methodology in Actuarial Studies,10,,,Permission by special approval,,"ACST450, AFIN450",TBD,," Applied Finance staff 
",Department of Applied Finance,Macquarie Business School,81103,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AHIS1110,Ancient Greek A,10,,,,,"HSC Classical Greek, AHIX108, AHIS208, AHST205, AHIS108","S1 Day
S1 Online","
","Dr Ian Plant
",Department of Ancient History,Faculty of Arts,91505,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AHIS1120,Latin A,10,,,,,"HSC Latin, AHIS218, AHST207, AHIX118, AHIS118","S1 Day
S1 External","
with on campus sessions: None","Associate Professor Trevor Evans
",Department of Ancient History,Faculty of Arts,91505,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AHIS1140,Ancient Hebrew A,10,,,,,"AHIS258, AHIX158, AHIS158","S2 Day
S2 Online","
","Dr Louise Pryke
",Department of Ancient History,Faculty of Arts,91509,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AHIS1150,Hieroglyphic Egyptian A,10,,,,,"AHIS278, AHST260, AHIS178","S1 Day
S1 Online","
"," ANCIENT HISTORY STAFF 
",Department of Ancient History,Faculty of Arts,90305,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AHIS1160,Coptic Egyptian A,10,,,,,"AHIS268, AHIS168","S2 Day
S2 External","
with on campus sessions: None","Associate Professor Malcolm Choat
",Department of Ancient History,Faculty of Arts,90305,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AHIS1200,Myth in the Ancient World,10,,,,,"AHST101, AHIX140, AHIS140","S2 Day
S2 Online
S3 Online","

","Dr Ian Plant
",Department of Ancient History,Faculty of Arts,90300,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,AHIS1210,Introduction to Ancient Greek History,10,,,,,"AHST102, AHIS100","S2 Day
S2 Online","
","Dr Gil Davis
",Department of Ancient History,Faculty of Arts,90300,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
